DATA,1,ZŁ,,,
KTG,PODSTAWOWE ARTYKUŁY,,,,
SUBKTG,podkategria,,1,2,3
Atrament,Buteleczka 10ml. Atramentu.,5,4,7,8
Bardon,Instrument muzyczny podobny do liry i lutni.,140,5,2,6
Barwniki kreślarskie,Mała puszka - 10 ml.,15,6,1,1
Beczułka,"5l, drewniana, z odkrywanym deczkiem.",15,1,2,0
Bęben,"Mały rozmiar, średniej jakości robota.",30,4,1,0
Bicz,"Patrz: bat, kańczug.",10,4,0,-2
Bukłak,"Półtora litra. Skórzany, zatykany korkiem.",24,4,0,-3
Chorągiew,"W trzech dostępnych kolorach; biała, pomarańczowa i czerwona.",5,5,-1,-4
Cytra,"Mały rozmiar, średniej jakości robota.",40,5,-1,-6
Donica,"Gliniana, zdobiona i malowana, ok 4l.",18,5,-2,-7
Drabina,"5m, drewniana, udźwig 1t.",80,5,-3,-8
Dzban,"Zdobiony, 3litry, doskonały kształt i wykonanie, gliniany.",60,5,-3,-9
Fajka,"Zwykła, gliniana",7,6,-4,-11
Flaga,"W zależności od wykonania i wielkości; 1S mała, 5S średnia, 1Z, 5S duża",,6,-4,-12
Flecik,"Mały rozmiar, średniej jakości robota.",12,6,-5,-13
Fletnia,"Mały rozmiar, średniej jakości robota.",18,6,-6,-15
Garnek,"3 litry, gliniany.",14,6,-6,-16
Gęsie pióro,Zaostrzone do pisania.,2,7,-7,-17
Gwóźdź (Paczka 10),"10cm., +1 do zadawanych obrażeń.",2,7,-7,-19
Haczyk,"Na ryby, żelazny.","0,4",7,-8,-20
Harfa,"Mały rozmiar, średniej jakości robota.",30,7,-9,-21
Hubka,Na 10 razy.,4,7,-9,-22
Igła,,"0,4",8,-10,-24
Juki,"60litrów, 200 kg, 3000 monet.",500,8,-10,-25
Kadzidło,(Żywiczne) Na 6 godzin.,5,8,-11,-26
Kadzielnica,Mała.,10,8,-12,-28
Kadź,"Drewniane: 50l - 4S, 150l - 2Z, 500l - 5Z, 1000l - 9,5Z Żelazne: Cena razy 2,5x. ",,8,-12,-29
Kilof,Żelazny.,16,9,-13,-30
Klepsydra,Półgodzinna.,16,9,-13,-32
Kłódka dobra,"Stalowa, nowy wytop, nowy mechanizm.",80,9,-14,-33
Kłódka kiepska,Prawdopodobnie przedkatastroficzna.,15,9,-15,-34
Koc wełniany,"Niewielki, ciepły koc",50,9,-15,-35
Koc wojłokowy,"Niewielki, ciepły koc",30,10,-16,-37
Kołdra,Kołdra pierzowa,15,10,-16,-38
Kołki do wspinaczki,"Dobre drewno z niewielkimi okuciami i metalowym wnętrzem, obwiązane rzemieniami.",10,10,-17,-39
