DATA;ZK;0.07;SR;12;
KTG;AKCESORIA;;;;
SUBKTG;DOMOWE;;;;
Chorˆgiew;P¸—cienna chorˆgiew na kiju.;30;1;0;
Chorˆgiewka;Niewielka chorˆgiewka.;5;1;0;
Donica drewniana rzebiona ;Donica na kwiaty.;30;1;0;
Donica gliniana;Donica na kwiaty.;20,;1;0;
Donica ozdobna;Donica na kwiaty.;25;1;0;
Drabina d¸uga;Drewniana drabina, 8 m.;400;1;0;
Drabina kr—tka;Drewniana drabina, 3 m. ;170;1;0;
Drabina rozk¸adana;Drabina dwu lub trzy cz«æciowa, rozk¸adana poziomo. ;700;3;0;
Drabina z hakami;Drabina zwieÄczona metalowymi hakami do stabilizacji.;400;2;0;
Drewniana tablica;Tablica do pisania kredˆ.;150;1;0;
Dzwonek na drzwi;Dzwonek na haczyku.;15;1;0;
Firanka;Zwini«ta, bia¸a firanka.;180;2;0;
Kadzid¸o;Drewniane kadzid¸o.;3;1;0;
Kadzielnica;Metalowa kadzielnica na ¸aÄcuchu.;20;1;0;
Kandelabr;Mosi«ıny æwiecznik z wieloma miseczkami.;30;2;0;
Klepsydra duıa;Spora klepsydra, odmierza 10 minut. ;25;2;0;
Klepsydra ma¸a;Niewielka klepsydra, odmierza 1 minut«.;5;1;0;
Klepsydra ærednia;Klepsydra, odmierza 3 minuty.;12;1;0;
Klepsydra wodna;Klepsydra, odmierza 2 minuty.;7;1;0;
K¸—dka metalowa;Solidna, metalowa k¸—dka na kluczyk.;25;1;0;
Lampka naftowa;Oszklona, metalowa lampka. ;40;2;0;
Lichtarz;Mosi«ıny æwiecznik z jednˆ miseczkˆ.;8;1;0;
Lina jedwabna;Zwyk¸a, ca¸kiem wytrzyma¸a lina.;8;1;30;m
Lina konopna;Solidna lina.;15;2;20;m
Menora;Mosi«ıny æwiecznik z siedmioma miseczkami.;80;1;0;
Metalowy lampion;Metalowa klatka z uchwytem. W ærodku ma miejsce na æwiec«.;25;1;0;
Metalowy, oszklony lampion;Metalona, oszklona klatka z uchwytem. W ærodku ma miejsce na æwiec«.;40;2;0;
Miech;Przyrzˆd do t¸oczenia powietrza.;80;1;0;
Miednica drewniana;Naczynie do utrzymywania higieny osobistej.;100;1;0;
Miednica metalowa;Naczynie do utrzymywania higieny osobistej.;200;1;0;
Miot¸a;Tradycyjna, brzozowa miot¸a.;10;1;0;
Mosi«ına ko¸atka;Ko¸atka na drzwi.;10;2;0;
Nafta do lampy;Pojemnik z naftˆ do lampy, 0,5 l. ;5;1;0;
Ose¸ka;Narz«dzie do szlifowania metalu.;7;1;0;
Paczka kredy;Paczka kredy do pisania.;10;1;0;
Pleciona narzuta na krzes¸o;Ozdobna narzuta na krzes¸o.;5;1;0;
Popielniczka miedziana;Pojemnik na popi—¸ z fajek.;10;1;0;
Popielniczka ıeliwna;Pojemnik na popi—¸ z fajek.;12;1;0;
Rama na obraz;Drewniana rama, 50 x 50 cm.;20;1;0;
Rama na obraz;Drewniana rama, 50 x 80 cm.;27;1;0;
Rama na obraz, duıa;Drewniana rama, 100 x 100 cm. ;40;1;0;
Rama na obraz, duıa;Drewniana rama, 100 x 140 cm.;50;1;0;
Rama na obraz, ma¸a;Drewniana rama, 30 x 30 cm.;10;1;0;
Rama na obraz, ma¸a;Drewniana rama, 30 x 50 cm.;12;1;0;
Rama ozdobna;Rzebiona rama na obraz, 50 x 50 cm.;70;2;0;
Rama ozdobna;Rzebiona rama na obraz, 50 x 80 cm.;95;2;0;
Rama ozdobna, duıa;Rzebiona rama na obraz, 100 x 100 cm. ;140;2;0;
Rama ozdobna, duıa;Rzebiona rama na obraz, 100 x 140 cm.;190;2;0;
